<TICKER> <PER> <DATE> <TIME> <OPEN> <HIGH> <LOW> <CLOSE> <VOL>
USD000000TOD 60 20200630 100000 70.2000000 70.5900000 70.1525000 70.4475000 266276000
USD000000TOD 60 20200630 110000 70.4700000 70.6525000 70.3925000 70.6150000 150841000
USD000000TOD 60 20200630 120000 70.6225000 70.9675000 70.6225000 70.8000000 130346000
USD000000TOD 60 20200630 130000 70.8000000 70.9700000 70.7825000 70.9625000 74990000
USD000000TOD 60 20200630 140000 70.9550000 71.0800000 70.8550000 71.0600000 72714000
USD000000TOD 60 20200630 150000 71.0700000 71.2700000 71.0375000 71.1825000 105585000
USD000000TOD 60 20200630 160000 71.1800000 71.3075000 71.0500000 71.1300000 224021000
USD000000TOD 60 20200630 170000 71.1475000 71.3200000 71.0825000 71.2325000 62689000
USD000000TOD 60 20200702 100000 70.9825000 70.9825000 69.5525000 70.5125000 150246000
USD000000TOD 60 20200702 110000 70.5200000 70.5375000 70.3125000 70.3725000 105354000
USD000000TOD 60 20200702 120000 70.3700000 70.4000000 70.2125000 70.2500000 77496000
USD000000TOD 60 20200702 130000 70.2500000 70.3875000 70.2125000 70.3525000 70161000
USD000000TOD 60 20200702 140000 70.3600000 70.3975000 70.2625000 70.3250000 51609000
USD000000TOD 60 20200702 150000 70.3300000 70.4600000 70.1775000 70.2275000 70986000
USD000000TOD 60 20200702 160000 70.2300000 70.4225000 70.2100000 70.2725000 78408000
USD000000TOD 60 20200702 170000 70.2875000 70.4200000 70.2400000 70.3375000 31489000
USD000000TOD 60 20200703 100000 70.3000000 70.5375000 70.2800000 70.5000000 170140000
USD000000TOD 60 20200703 110000 70.4950000 70.5650000 70.4650000 70.5400000 101864000
USD000000TOD 60 20200703 120000 70.5400000 71.0150000 70.5325000 70.9550000 141116000
USD000000TOD 60 20200703 130000 70.9650000 71.2500000 70.9650000 71.1475000 108787000
USD000000TOD 60 20200703 140000 71.1575000 71.4625000 71.1125000 71.3500000 84058000
USD000000TOD 60 20200703 150000 71.3600000 71.5500000 71.2675000 71.3125000 54822000
USD000000TOD 60 20200703 160000 71.3075000 71.3800000 71.2200000 71.3425000 37885000
USD000000TOD 60 20200703 170000 71.3575000 71.4675000 71.2775000 71.4450000 20966000
USD000000TOD 60 20200706 100000 70.9225000 71.5300000 70.7875000 71.4950000 227573000
USD000000TOD 60 20200706 110000 71.4950000 71.8050000 71.4900000 71.7375000 180806000
USD000000TOD 60 20200706 120000 71.7400000 72.0675000 71.7275000 71.9350000 172858000
USD000000TOD 60 20200706 130000 71.9225000 71.9800000 71.8025000 71.8775000 54684000
USD000000TOD 60 20200706 140000 71.8700000 72.1000000 71.8500000 71.9975000 58050000
USD000000TOD 60 20200706 150000 72.0000000 72.0025000 71.7400000 71.7600000 44030000
USD000000TOD 60 20200706 160000 71.7500000 71.9150000 71.6375000 71.6875000 42632000
USD000000TOD 60 20200706 170000 71.6950000 71.7600000 71.5950000 71.6100000 16349000
USD000000TOD 60 20200707 100000 71.9525000 72.3000000 71.9025000 72.1600000 301801000
USD000000TOD 60 20200707 110000 72.1675000 72.2275000 71.9900000 72.0425000 137423000
USD000000TOD 60 20200707 120000 72.0550000 72.2500000 72.0100000 72.1500000 86253000
USD000000TOD 60 20200707 130000 72.1500000 72.1950000 71.9100000 71.9200000 51363000
USD000000TOD 60 20200707 140000 71.9150000 71.9200000 71.5975000 71.6875000 81376000
USD000000TOD 60 20200707 150000 71.6875000 71.7850000 71.5100000 71.5200000 59805000
USD000000TOD 60 20200707 160000 71.5200000 71.6150000 71.3300000 71.3300000 64963000
USD000000TOD 60 20200707 170000 71.3225000 71.3500000 71.2275000 71.3250000 21313000
USD000000TOD 60 20200708 100000 71.4900000 71.5600000 71.0525000 71.0800000 171124000
USD000000TOD 60 20200708 110000 71.0875000 71.1900000 71.0300000 71.1075000 104099000
USD000000TOD 60 20200708 120000 71.1025000 71.3100000 71.0375000 71.2300000 74058000
USD000000TOD 60 20200708 130000 71.2400000 71.3550000 71.0650000 71.1550000 60644000
USD000000TOD 60 20200708 140000 71.1500000 71.1775000 71.0450000 71.1025000 101819000
USD000000TOD 60 20200708 150000 71.0975000 71.4450000 71.0950000 71.3275000 83088000
USD000000TOD 60 20200708 160000 71.3550000 71.4000000 71.0700000 71.1700000 25141000
USD000000TOD 60 20200708 170000 71.1475000 71.3400000 71.1200000 71.2800000 12108000
USD000000TOD 60 20200709 100000 71.0200000 71.0700000 70.8300000 70.9150000 163210000
USD000000TOD 60 20200709 110000 70.9175000 70.9400000 70.6925000 70.7800000 123763000
USD000000TOD 60 20200709 120000 70.7800000 70.8800000 70.7275000 70.8450000 101496000
USD000000TOD 60 20200709 130000 70.8600000 70.8650000 70.6200000 70.7625000 83531000
USD000000TOD 60 20200709 140000 70.7500000 70.7675000 70.5500000 70.6250000 55507000
USD000000TOD 60 20200709 150000 70.6275000 70.6275000 70.4900000 70.5575000 38764000
USD000000TOD 60 20200709 160000 70.5750000 70.7375000 70.5625000 70.6125000 43813000
USD000000TOD 60 20200709 170000 70.6000000 70.8875000 70.5675000 70.8875000 20544000
USD000000TOD 60 20200710 100000 71.1825000 71.4200000 71.0500000 71.0975000 209848000
USD000000TOD 60 20200710 110000 71.0875000 71.2150000 71.0200000 71.1500000 108084000
USD000000TOD 60 20200710 120000 71.1425000 71.2675000 71.0900000 71.2000000 85012000
USD000000TOD 60 20200710 130000 71.1975000 71.2200000 71.0550000 71.0775000 45640000
USD000000TOD 60 20200710 140000 71.0725000 71.0725000 70.9425000 71.0550000 59788000
USD000000TOD 60 20200710 150000 71.0550000 71.1150000 70.9075000 70.9475000 33932000
USD000000TOD 60 20200710 160000 70.9350000 70.9350000 70.7250000 70.8300000 31877000
USD000000TOD 60 20200710 170000 70.8250000 70.9050000 70.6275000 70.6675000 17939000
USD000000TOD 60 20200713 100000 70.5975000 70.8425000 70.5000000 70.8050000 135399000
USD000000TOD 60 20200713 110000 70.8100000 70.8650000 70.7100000 70.8250000 73123000
USD000000TOD 60 20200713 120000 70.8300000 71.0200000 70.7975000 70.8825000 90060000
USD000000TOD 60 20200713 130000 70.8875000 70.9525000 70.8425000 70.8575000 51633000
USD000000TOD 60 20200713 140000 70.8525000 70.8725000 70.6425000 70.6925000 43221000
USD000000TOD 60 20200713 150000 70.6850000 70.8500000 70.6850000 70.8250000 36635000
USD000000TOD 60 20200713 160000 70.8150000 70.8375000 70.6700000 70.7150000 28169000
USD000000TOD 60 20200713 170000 70.7175000 70.7200000 70.5700000 70.6050000 19204000
USD000000TOD 60 20200714 100000 70.9000000 71.2600000 70.8275000 71.2450000 178944000
USD000000TOD 60 20200714 110000 71.2475000 71.3350000 71.1375000 71.1900000 79725000
USD000000TOD 60 20200714 120000 71.2000000 71.2925000 71.0300000 71.2100000 87435000
USD000000TOD 60 20200714 130000 71.2100000 71.2300000 71.0200000 71.0350000 52768000
USD000000TOD 60 20200714 140000 71.0300000 71.1250000 70.9600000 71.0000000 52404000
USD000000TOD 60 20200714 150000 71.0050000 71.2125000 70.9425000 71.1900000 95294000
USD000000TOD 60 20200714 160000 71.1875000 71.2425000 70.9900000 71.0500000 32993000
USD000000TOD 60 20200714 170000 71.0675000 71.1600000 71.0425000 71.1225000 14811000
USD000000TOD 60 20200715 100000 70.7525000 70.9325000 70.7150000 70.8000000 147345000
USD000000TOD 60 20200715 110000 70.8000000 70.8025000 70.6500000 70.7400000 77911000
USD000000TOD 60 20200715 120000 70.7275000 70.9850000 70.7150000 70.9600000 89484000
USD000000TOD 60 20200715 130000 70.9800000 71.1075000 70.9500000 70.9725000 84551000
USD000000TOD 60 20200715 140000 70.9600000 70.9800000 70.8250000 70.8875000 48824000
USD000000TOD 60 20200715 150000 70.8900000 70.8900000 70.7850000 70.8400000 49258000
USD000000TOD 60 20200715 160000 70.8375000 71.0550000 70.8275000 71.0225000 57636000
USD000000TOD 60 20200715 170000 71.0300000 71.0800000 70.8550000 70.9000000 19168000
USD000000TOD 60 20200716 100000 71.2650000 71.5200000 71.0950000 71.2300000 141000000
USD000000TOD 60 20200716 110000 71.2300000 71.3100000 71.1750000 71.2600000 72233000
USD000000TOD 60 20200716 120000 71.2625000 71.3500000 71.2150000 71.2625000 47195000
USD000000TOD 60 20200716 130000 71.2725000 71.3325000 71.2000000 71.2375000 68893000
